id,claim,label,openai-4o-mini-pred_label,openai-4o-pred_label,openai-4o-mini-ev_1,openai-4o-mini-ev_2,openai-4o-mini-ev_3,openai-4o-mini-ev_4,openai-4o-mini-ev_5,openai-4o-ev_1,openai-4o-ev_2,openai-4o-ev_3,openai-4o-ev_4,openai-4o-ev_5,Predicted Labels Match
AuRED_142,Naturalization decree in preparation: Lebanese passports for sale !,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'LBpresidency': ''The Information Office of the Presidency of the Republic denies a false news broadcast by the MTV station about Baabda Palace preparing a decree naturalizing 4 000 people and recalls that it had denied yesterday the false information published by the French magazine 'Liberation' about the same fabricated news '' ,(0.9) Statement from Authority Account 'LBpresidency': ''The Information Office of the Presidency of the Republic: What was published by the French newspaper 'Liberation' about the 'selling' of Lebanese passports to non-Lebanese is false and baseless news ' ,,,,(0.9) Statement from Authority Account 'LBpresidency': ''The Information Office of the Presidency of the Republic denies a false news broadcast by the MTV station about Baabda Palace preparing a decree naturalizing 4 000 people and recalls that it had denied yesterday the false information published by the French magazine 'Liberation' about the same fabricated news '' ,(0.9) Statement from Authority Account 'LBpresidency': ''The Information Office of the Presidency of the Republic: What was published by the French newspaper 'Liberation' about the 'selling' of Lebanese passports to non-Lebanese is false and baseless news ' ,,,,Yes
AuRED_144,In the video The spread of unidentified gunmen east of the capital Baghdad,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'SecMedCell': 'The security forces of all types and formations are the ones who hold the reins in all governorates of the country and there is no truth to what some social media sites have reported about the spread of unknown gunmen in various areas As there are strict orders that stress the prohibition of carrying weapons or forming armed groups outside the framework of the state ' ,,,,,(0.9) Statement from Authority Account 'SecMedCell': 'The security forces of all types and formations are the ones who hold the reins in all governorates of the country and there is no truth to what some social media sites have reported about the spread of unknown gunmen in various areas As there are strict orders that stress the prohibition of carrying weapons or forming armed groups outside the framework of the state ' ,,,,,Yes
AuRED_132,*Riyad Salama to NBN raising the value of the dollar through Resolution 158 from 8 000 LBP per dollar to 15 000 LBP starting from the first of next month * *Riyad Salama to NBN we are raising the ceiling on banking withdrawals starting from the first of next month from $400 to $1 500 for individuals *,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'nbntweets': 'After circulating news that the Governor of the Bank of Lebanon Riad Salameh had announced to NBN about raising the value of the dollar and raising the ceiling on banking withdrawals the NBN channel denies the validity of this information that is being circulated citing the channel and confirms that there is no truth to it on this subject ' ,(0.9) Statement from Authority Account 'nbntweets': 'There is no truth to the information being circulated quoted by the NBN channel regarding a statement by the Governor of the Central Bank regarding banking circulars ' ,,,,(0.9) Statement from Authority Account 'nbntweets': 'After circulating news that the Governor of the Bank of Lebanon Riad Salameh had announced to NBN about raising the value of the dollar and raising the ceiling on banking withdrawals the NBN channel denies the validity of this information that is being circulated citing the channel and confirms that there is no truth to it on this subject ' ,(0.9) Statement from Authority Account 'nbntweets': 'There is no truth to the information being circulated quoted by the NBN channel regarding a statement by the Governor of the Central Bank regarding banking circulars ' ,,,,Yes
AuRED_099,Qatar threw Iranian peas into garbage for fear of the spread of the new Corona virus,REFUTES,REFUTES,NOT ENOUGH INFO,(0.8) Statement from Authority Account 'albaladiya': 'The competent supervisory agencies in the municipalities carry out daily inspection campaigns on the markets to examine vegetables and fruits and the rapid disposal of materials unfit for human consumption is supervised by destroying them directly to avoid resale while making sure to sort the wooden and plastic boxes for recycling Qatar Qatar ' ,(0.9) Statement from Authority Account 'albaladiya': ' 0UUhfuavSONaDQb hamadlahdan Hello my dear brother thank you for your observation Please note that food items unfit for human consumption are destroyed after they are confiscated during inspections carried out by municipal inspectors so that they are not sold again Thank you for your communication ' ,,,,(0.0) Statement from Authority Account 'albaladiya': 'The competent supervisory agencies in the municipalities carry out daily inspection campaigns on the markets to examine vegetables and fruits and the rapid disposal of materials unfit for human consumption is supervised by destroying them directly to avoid resale while making sure to sort the wooden and plastic boxes for recycling Qatar Qatar ' ,(0.0) Statement from Authority Account 'albaladiya': ' 0UUhfuavSONaDQb hamadlahdan Hello my dear brother thank you for your observation Please note that food items unfit for human consumption are destroyed after they are confiscated during inspections carried out by municipal inspectors so that they are not sold again Thank you for your communication ' ,,,,No
AuRED_150,What Moza did towards the Yemeni people is a resounding scandal by preventing Yemenis from entering Qatar who hold the Haya card designated for visitors to Qatar for the World Cup season However the Qatari regime closed the doors in the faces of the Yemenis and not anyone else until here and the Qatari position is clear There must be a quick reaction from the government,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'AmbRajehBadi ': ' Friends who had received a Haya card and then it was cancelled contacted me and today they informed me that the Haya card had been issued with full approval and that they could travel at any time to Qatar to attend the World Cup Congratulations to everyone and thanks for the efforts of our embassy in Qatar and to Ambassador Rajeh Badi AmbRajehBadi' ,(0.9) Statement from Authority Account 'AmbRajehBadi ': 'The concerned authorities in Qatar confirmed during our communication with them on several levels that there is no truth to what was raised about preventing Yemenis from attending the World Cup and that a defect caused the cancellation of these cards for different nationalities before the procedures returned to normal on the applicants' accounts ' ,(0.9) Statement from Authority Account 'AmbRajehBadi ': 'I thank the Qatari authorities for the response they showed following the problem that caused a number of Haya cards to be rejected by some Yemenis Since the first hours we have contacted the relevant authorities and received promises to address the problem Indeed it has begun to be resolved and we have noticed that these cards have returned to work and the rest of them will be completed in the coming days according to the responsible authorities ' ,,,(0.9) Statement from Authority Account 'AmbRajehBadi ': ' Friends who had received a Haya card and then it was cancelled contacted me and today they informed me that the Haya card had been issued with full approval and that they could travel at any time to Qatar to attend the World Cup Congratulations to everyone and thanks for the efforts of our embassy in Qatar and to Ambassador Rajeh Badi AmbRajehBadi' ,(0.9) Statement from Authority Account 'AmbRajehBadi ': 'The concerned authorities in Qatar confirmed during our communication with them on several levels that there is no truth to what was raised about preventing Yemenis from attending the World Cup and that a defect caused the cancellation of these cards for different nationalities before the procedures returned to normal on the applicants' accounts ' ,(0.9) Statement from Authority Account 'AmbRajehBadi ': 'I thank the Qatari authorities for the response they showed following the problem that caused a number of Haya cards to be rejected by some Yemenis Since the first hours we have contacted the relevant authorities and received promises to address the problem Indeed it has begun to be resolved and we have noticed that these cards have returned to work and the rest of them will be completed in the coming days according to the responsible authorities ' ,,,Yes
AuRED_083,Libya - Sources of the event: News of the arrival of an American delegation to Benghazi to discuss efforts for a solution,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'USEmbassyLibya': ' AlHadath AlHadath There is no American delegation heading to Benghazi This rumor is not true ' ,,,,,(0.9) Statement from Authority Account 'USEmbassyLibya': ' AlHadath AlHadath There is no American delegation heading to Benghazi This rumor is not true ' ,,,,,Yes
AuRED_134,Kuwait: An officer with the rank of first lieutenant working in the State Security Service was arrested for obtaining Kuwaiti citizenship by fraud and forgery,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'Moi kuw': 'Security Media: The General Administration of Relations and Security Media denies what was circulated on social media about the arrest of an officer in the Ministry of Interior who forged nationality and the Ministry of Interior will take legal measures against anyone who publishes or publishes false news ' ,,,,,(0.9) Statement from Authority Account 'Moi kuw': 'Security Media: The General Administration of Relations and Security Media denies what was circulated on social media about the arrest of an officer in the Ministry of Interior who forged nationality and the Ministry of Interior will take legal measures against anyone who publishes or publishes false news ' ,,,,,Yes
AuRED_136,With a clear and clear title 'You will pay ' meaning you will pay The General Traffic Department decides to raise the value of all types of traffic violations by up to 100% retroactively Egypt Sisi,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'moiegy': ' Ministry of Interior: There is no truth to what was circulated on a number of channels affiliated with the Terrorist Brotherhood group Regarding the General Traffic Department raising the value of traffic violations in addition to that this is not within the jurisdiction of the General Traffic Department but rather a judicial matter subject to legislation and laws ' ,,,,,(0.9) Statement from Authority Account 'moiegy': ' Ministry of Interior: There is no truth to what was circulated on a number of channels affiliated with the Terrorist Brotherhood group Regarding the General Traffic Department raising the value of traffic violations in addition to that this is not within the jurisdiction of the General Traffic Department but rather a judicial matter subject to legislation and laws ' ,,,,,Yes
AuRED_154,A Dutch inspection team was prevented from entering the port of Beirut,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'LebarmyOfficial': 'This afternoon Army Commander General Joseph Aoun inspected the explosion area in the port of Beirut where he toured local and international search and rescue teams and was briefed on the operations carried out by the Dutch Russian French German Greek Cypriot Qatari Turkish and Czech units ' ,(0.9) Statement from Authority Account 'LebarmyOfficial': 'The Army Command denies the validity of the information about preventing a Dutch inspection team from entering the port to assist in rescue operations Lebanese Army LebaneseArmy ' ,,,,(0.9) Statement from Authority Account 'LebarmyOfficial': 'This afternoon Army Commander General Joseph Aoun inspected the explosion area in the port of Beirut where he toured local and international search and rescue teams and was briefed on the operations carried out by the Dutch Russian French German Greek Cypriot Qatari Turkish and Czech units ' ,(0.9) Statement from Authority Account 'LebarmyOfficial': 'The Army Command denies the validity of the information about preventing a Dutch inspection team from entering the port to assist in rescue operations Lebanese Army LebaneseArmy ' ,,,,Yes
AuRED_038,News of a missile passing over Kuwaiti airspace coming from the Iraqi side,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'KuwaitArmyGHQ': 'The Chief of Staff denies what is being circulated through various media outlets and confirms that the various sectors of the army are working according to the states of readiness assigned to them to preserve the country's security and territorial integrity It calls on everyone to investigate accuracy and obtain information from its official sources represented by the Directorate of Moral Guidance and Public Relations ' ,,,,,(0.9) Statement from Authority Account 'KuwaitArmyGHQ': 'The Chief of Staff denies what is being circulated through various media outlets and confirms that the various sectors of the army are working according to the states of readiness assigned to them to preserve the country's security and territorial integrity It calls on everyone to investigate accuracy and obtain information from its official sources represented by the Directorate of Moral Guidance and Public Relations ' ,,,,,Yes
