id,claim,label,llama3-70b-pred_label,openai-4o-mini-pred_label,openai-4o-pred_label,llama3-70b-ev_1,openai-4o-mini-ev_1,openai-4o-ev_1,llama3-70b-ev_2,openai-4o-mini-ev_2,openai-4o-ev_2,llama3-70b-ev_3,openai-4o-mini-ev_3,openai-4o-ev_3,llama3-70b-ev_4,openai-4o-mini-ev_4,openai-4o-ev_4,llama3-70b-ev_5,openai-4o-mini-ev_5,openai-4o-ev_5,Predicted Labels Match
AuRED_038,News of a missile passing over Kuwaiti airspace coming from the Iraqi side,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO,(-0.8) Statement from Authority Account 'KuwaitArmyGHQ': 'The Chief of Staff confirms what is being circulated through various media outlets and confirms that the various sectors of the army are working according to the states of readiness assigned to them to preserve the country's security and territorial integrity It calls on everyone to investigate accuracy and obtain information from its official sources represented by the Directorate of Moral Guidance and Public Relations ' ,(0.0) Statement from Authority Account 'KuwaitArmyGHQ': 'The Chief of Staff confirms what is being circulated through various media outlets and confirms that the various sectors of the army are working according to the states of readiness assigned to them to preserve the country's security and territorial integrity It calls on everyone to investigate accuracy and obtain information from its official sources represented by the Directorate of Moral Guidance and Public Relations ' ,(0.0) Statement from Authority Account 'KuwaitArmyGHQ': 'The Chief of Staff confirms what is being circulated through various media outlets and confirms that the various sectors of the army are working according to the states of readiness assigned to them to preserve the country's security and territorial integrity It calls on everyone to investigate accuracy and obtain information from its official sources represented by the Directorate of Moral Guidance and Public Relations ' ,,,,,,,,,,,,,No
AuRED_064,Today the Turkish Minister of Defense visited Tripoli in coordination with the new Libyan government He was received by the Turkish ambassador and Turkish army officers and he held a meeting with Turkish leaders at the Mitiga base He met some Libyan government or presidential official and he left Libya I believe,SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO,(-0.8) Statement from Authority Account 'GovernmentLY': 'The Prime Minister of the National Unity Government meets a high-level Turkish delegation ' ,(0.0) Statement from Authority Account 'GovernmentLY': 'The Prime Minister of the National Unity Government meets a high-level Turkish delegation ' ,(0.0) Statement from Authority Account 'GovernmentLY': 'The Prime Minister of the National Unity Government meets a high-level Turkish delegation ' ,(-0.8) Statement from Authority Account 'MFATurkiyeAR': ' A high-ranking Turkish delegation visits Libya and Cavusoglu meets his Libyan counterpart in Tripoli ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': ' A high-ranking Turkish delegation visits Libya and Cavusoglu meets his Libyan counterpart in Tripoli ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': ' A high-ranking Turkish delegation visits Libya and Cavusoglu meets his Libyan counterpart in Tripoli ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': 'Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': 'Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'MFATurkiyeAR': 'Press release about the visit to Libya ' ,(-0.8) Statement from Authority Account 'TrablusBe': ' Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'TrablusBe': ' Press release about the visit to Libya ' ,(0.0) Statement from Authority Account 'TrablusBe': ' Press release about the visit to Libya ' ,(0.8) Statement from Authority Account 'NajWheba': '1 3 Chairman of the Presidential Council Dr Muhammad Al-Manfi LPCLYM met today with a high-level Turkish delegation headed by the Turkish Foreign Minister MevlutCavusoglu who conveyed the greetings of the President of the Turkish Republic Mr Recep Tayyip Erdogan to the President of the Presidential Council stressing his country's support for the stability and unity of Libya ' ,(0.8) Statement from Authority Account 'NajWheba': '1 3 Chairman of the Presidential Council Dr Muhammad Al-Manfi LPCLYM met today with a high-level Turkish delegation headed by the Turkish Foreign Minister MevlutCavusoglu who conveyed the greetings of the President of the Turkish Republic Mr Recep Tayyip Erdogan to the President of the Presidential Council stressing his country's support for the stability and unity of Libya ' ,(0.0) Statement from Authority Account 'NajWheba': '1 3 Chairman of the Presidential Council Dr Muhammad Al-Manfi LPCLYM met today with a high-level Turkish delegation headed by the Turkish Foreign Minister MevlutCavusoglu who conveyed the greetings of the President of the Turkish Republic Mr Recep Tayyip Erdogan to the President of the Presidential Council stressing his country's support for the stability and unity of Libya ' ,No
AuRED_083,Libya - Sources of the event: News of the arrival of an American delegation to Benghazi to discuss efforts for a solution,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,(-0.9) Statement from Authority Account 'USEmbassyLibya': ' AlHadath AlHadath There is an American delegation heading to Benghazi This rumor is true ' ,(-0.9) Statement from Authority Account 'USEmbassyLibya': ' AlHadath AlHadath There is an American delegation heading to Benghazi This rumor is true ' ,(-0.9) Statement from Authority Account 'USEmbassyLibya': ' AlHadath AlHadath There is an American delegation heading to Benghazi This rumor is true ' ,,,,,,,,,,,,,Yes
AuRED_086,Al-Ittihad Raid I League Urgently the administration of the Corona vaccine has continued urgently in the Kingdom of Saudi Arabia There is no power or strength from God Five people survived after taking the vaccine n,SUPPORTS,SUPPORTS,NOT ENOUGH INFO,NOT ENOUGH INFO,(0.9) Statement from Authority Account 'spokesman moh': 'Praise be to God everyone who took the Corona vaccine is healthy and well and no unexpected symptoms appeared in everyone who received the vaccine We invite everyone to register on the Sehaty app to get the vaccine Contact SaudiMOH937 for any inquiries take information from its official sources and do not be led by rumours ' ,(0.0) Statement from Authority Account 'spokesman moh': 'Praise be to God everyone who took the Corona vaccine is healthy and well and no unexpected symptoms appeared in everyone who received the vaccine We invite everyone to register on the Sehaty app to get the vaccine Contact SaudiMOH937 for any inquiries take information from its official sources and do not be led by rumours ' ,(0.0) Statement from Authority Account 'spokesman moh': 'Praise be to God everyone who took the Corona vaccine is healthy and well and no unexpected symptoms appeared in everyone who received the vaccine We invite everyone to register on the Sehaty app to get the vaccine Contact SaudiMOH937 for any inquiries take information from its official sources and do not be led by rumours ' ,(-0.8) Statement from Authority Account 'Saudi PHA': ' Praise be to God the second Corona (Covid-19) vaccine center has been launched in the Kingdom in Jeddah Governorate Soon God willing vaccine centers will be launched in all regions of the Kingdom I invite everyone to register on the Sihati app to get the vaccine ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Praise be to God the second Corona (Covid-19) vaccine center has been launched in the Kingdom in Jeddah Governorate Soon God willing vaccine centers will be launched in all regions of the Kingdom I invite everyone to register on the Sihati app to get the vaccine ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Praise be to God the second Corona (Covid-19) vaccine center has been launched in the Kingdom in Jeddah Governorate Soon God willing vaccine centers will be launched in all regions of the Kingdom I invite everyone to register on the Sihati app to get the vaccine ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Important information provided by experts at the scientific conference on the mutation of the new Coronavirus Government Communication ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Important information provided by experts at the scientific conference on the mutation of the new Coronavirus Government Communication ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Important information provided by experts at the scientific conference on the mutation of the new Coronavirus Government Communication ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Highlights of the scientific conference on mutations of the Coronavirus (Covid-19) Tuesday December 22 2020 AD ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Highlights of the scientific conference on mutations of the Coronavirus (Covid-19) Tuesday December 22 2020 AD ' ,(0.0) Statement from Authority Account 'Saudi PHA': ' Highlights of the scientific conference on mutations of the Coronavirus (Covid-19) Tuesday December 22 2020 AD ' ,(-0.8) Statement from Authority Account 'Saudi PHA': 'Safety and effectiveness of the new Corona vaccine (Covid-19) ' ,(0.0) Statement from Authority Account 'Saudi PHA': 'Safety and effectiveness of the new Corona vaccine (Covid-19) ' ,(0.0) Statement from Authority Account 'Saudi PHA': 'Safety and effectiveness of the new Corona vaccine (Covid-19) ' ,No
AuRED_099,Qatar did not throw Iranian peas into garbage for fear of the spread of the new Corona virus,SUPPORTS,SUPPORTS,REFUTES,NOT ENOUGH INFO,(-0.8) Statement from Authority Account 'albaladiya': 'The competent supervisory agencies in the municipalities carry out daily inspection campaigns on the markets to examine vegetables and fruits and the rapid disposal of materials unfit for human consumption is supervised by destroying them directly to avoid resale while making sure to sort the wooden and plastic boxes for recycling Qatar Qatar ' ,(0.9) Statement from Authority Account 'albaladiya': 'The competent supervisory agencies in the municipalities carry out daily inspection campaigns on the markets to examine vegetables and fruits and the rapid disposal of materials unfit for human consumption is supervised by destroying them directly to avoid resale while making sure to sort the wooden and plastic boxes for recycling Qatar Qatar ' ,(0.0) Statement from Authority Account 'albaladiya': 'The competent supervisory agencies in the municipalities carry out daily inspection campaigns on the markets to examine vegetables and fruits and the rapid disposal of materials unfit for human consumption is supervised by destroying them directly to avoid resale while making sure to sort the wooden and plastic boxes for recycling Qatar Qatar ' ,(-0.8) Statement from Authority Account 'albaladiya': ' 0UUhfuavSONaDQb hamadlahdan Hello my dear brother thank you for your observation Please note that food items unfit for human consumption are destroyed after they are confiscated during inspections carried out by municipal inspectors so that they are not sold again Thank you for your communication ' ,(0.0) Statement from Authority Account 'albaladiya': ' 0UUhfuavSONaDQb hamadlahdan Hello my dear brother thank you for your observation Please note that food items unfit for human consumption are destroyed after they are confiscated during inspections carried out by municipal inspectors so that they are not sold again Thank you for your communication ' ,(0.0) Statement from Authority Account 'albaladiya': ' 0UUhfuavSONaDQb hamadlahdan Hello my dear brother thank you for your observation Please note that food items unfit for human consumption are destroyed after they are confiscated during inspections carried out by municipal inspectors so that they are not sold again Thank you for your communication ' ,,,,,,,,,,No
AuRED_100,The Kingdom will not support the Global Pandemic Fund with the $50 million needed to enhance international efforts to prevent epidemics Kingdom of Saudi Arabia Salman Electronic Army,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'FahadAlJalajel ': ''The Kingdom's support for the Financial Intermediation Fund for Health Security (Pandemic Fund) comes as an extension of its efforts to support the international community to protect millions of people from the dangers of epidemics and to prepare for and respond to them It also confirms that attention to 'human health' represents one of the most important priorities of the Kingdom's government G20 '' ,(0.9) Statement from Authority Account 'FahadAlJalajel ': ''The Kingdom's support for the Financial Intermediation Fund for Health Security (Pandemic Fund) comes as an extension of its efforts to support the international community to protect millions of people from the dangers of epidemics and to prepare for and respond to them It also confirms that attention to 'human health' represents one of the most important priorities of the Kingdom's government G20 '' ,(0.9) Statement from Authority Account 'FahadAlJalajel ': ''The Kingdom's support for the Financial Intermediation Fund for Health Security (Pandemic Fund) comes as an extension of its efforts to support the international community to protect millions of people from the dangers of epidemics and to prepare for and respond to them It also confirms that attention to 'human health' represents one of the most important priorities of the Kingdom's government G20 '' ,(0.9) Statement from Authority Account 'spagov ': 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics SPA ' ,(0.9) Statement from Authority Account 'spagov ': 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics SPA ' ,(0.9) Statement from Authority Account 'spagov ': 'The Kingdom supports the Global Pandemic Fund with $50 million to enhance international efforts to prevent epidemics SPA ' ,,,,,,,,,,Yes
AuRED_104,Urgent: Libya denies the opening of new corridors with Tunisia,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'Dabaibahamid': 'Opening new corridors with sister Tunisia at the Ras Jdir crossing to facilitate the crossing of citizens from both countries Libya Return to life We will not let you The bear ' ,(0.9) Statement from Authority Account 'Dabaibahamid': 'Opening new corridors with sister Tunisia at the Ras Jdir crossing to facilitate the crossing of citizens from both countries Libya Return to life We will not let you The bear ' ,(0.9) Statement from Authority Account 'Dabaibahamid': 'Opening new corridors with sister Tunisia at the Ras Jdir crossing to facilitate the crossing of citizens from both countries Libya Return to life We will not let you The bear ' ,,,,,,,,,,,,,Yes
AuRED_106,Riyad Mahrez is not among the candidates to win the Ballon d'Or!,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'LesVerts ': 'National team star Riyad Mahrez is on the list of candidates for the International Ballon d'Or award Wish good luck to Riyad ' ,(0.9) Statement from Authority Account 'LesVerts ': 'National team star Riyad Mahrez is on the list of candidates for the International Ballon d'Or award Wish good luck to Riyad ' ,(0.9) Statement from Authority Account 'LesVerts ': 'National team star Riyad Mahrez is on the list of candidates for the International Ballon d'Or award Wish good luck to Riyad ' ,,,,,,,,,,,,,Yes
AuRED_108,Qatar renews contract with 'Al-Annabi' coach,REFUTES,REFUTES,REFUTES,REFUTES,(0.8) Statement from Authority Account 'QFA': 'Wonderful years with many amazing moments which will remain immortalized in the history of Qatari football forever ️ Thank you for everything Sanchez! ' ,(0.0) Statement from Authority Account 'QFA': 'Wonderful years with many amazing moments which will remain immortalized in the history of Qatari football forever ️ Thank you for everything Sanchez! ' ,(0.9) Statement from Authority Account 'QFA': 'Wonderful years with many amazing moments which will remain immortalized in the history of Qatari football forever ️ Thank you for everything Sanchez! ' ,(0.9) Statement from Authority Account 'QFA': 'The Qatar Football Association and Spain's Felix Sanchez decide not to extend the contract concluded between the two parties Al-Ittihad expresses its sincere gratitude to the coach wishing him all the best ' ,(0.9) Statement from Authority Account 'QFA': 'The Qatar Football Association and Spain's Felix Sanchez decide not to extend the contract concluded between the two parties Al-Ittihad expresses its sincere gratitude to the coach wishing him all the best ' ,(0.9) Statement from Authority Account 'QFA': 'The Qatar Football Association and Spain's Felix Sanchez decide not to extend the contract concluded between the two parties Al-Ittihad expresses its sincere gratitude to the coach wishing him all the best ' ,,,,,,,,,,Yes
AuRED_109,Qatar will not host the 2024 World Endurance Racing Championship,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'KBKAlThani': 'Today we celebrated the signing of the State of Qatar's hosting of the 2024 World Endurance Racing Championship between the Qatar Automobile and Motorcycle Federation and the Le Mans Endurance Championship Company Our best wishes for the championship that will be held for the first time in Qatar ' ,(0.9) Statement from Authority Account 'KBKAlThani': 'Today we celebrated the signing of the State of Qatar's hosting of the 2024 World Endurance Racing Championship between the Qatar Automobile and Motorcycle Federation and the Le Mans Endurance Championship Company Our best wishes for the championship that will be held for the first time in Qatar ' ,(0.9) Statement from Authority Account 'KBKAlThani': 'Today we celebrated the signing of the State of Qatar's hosting of the 2024 World Endurance Racing Championship between the Qatar Automobile and Motorcycle Federation and the Le Mans Endurance Championship Company Our best wishes for the championship that will be held for the first time in Qatar ' ,,,,,,,,,,,,,Yes
