id,claim,label,llama3-1-8B-pred_label,llama3-1-70B-pred_label,llama3-1-405B-pred_label,llama3-1-8B-ev_1,llama3-1-8B-ev_2,llama3-1-8B-ev_3,llama3-1-8B-ev_4,llama3-1-8B-ev_5,llama3-1-70B-ev_1,llama3-1-70B-ev_2,llama3-1-70B-ev_3,llama3-1-70B-ev_4,llama3-1-70B-ev_5,llama3-1-405B-ev_1,llama3-1-405B-ev_2,llama3-1-405B-ev_3,llama3-1-405B-ev_4,llama3-1-405B-ev_5,Predicted Labels Match
AuRED_014,' Urgent Ramallah Ministry of Health spokesman Kamal Al-Shakhra: We received 2 000 doses of the American 'Moderna' Corona vaccine and this batch will be designated for President Abbas the Fatah Central Committee and VIPs ',REFUTES,SUPPORTS,REFUTES,REFUTES,(-0.8) Statement from Authority Account 'palestine moh': 'Pictures from the launch of the vaccination campaign against the Coronavirus starting with the medical and health teams in Bethlehem vaccine Palestine COVID19 ' ,(-0.8) Statement from Authority Account 'palestine moh': 'The Ministry added that the second group that will receive the vaccine is the elderly over the age of 60 and those with chronic diseases because if they are infected with the virus they will be more susceptible to serious symptoms vaccine modernavaccine palestine COVID19' ,(0.9) Statement from Authority Account 'palestine moh': 'Yesterday the Ministry of Health announced that it had received 2 000 doses of Moderna vaccine stressing that the priority in receiving anti-Coronavirus vaccinations is for personnel working in the health sector as they are the group who have the most contact with patients and are most at risk of infection with the Corona virus modernavaccine palestine COVID19' ,(-0.9) Statement from Authority Account 'palestine moh': 'The Minister of Health Dr May Alkaila today Tuesday the campaign where she received the vaccine at Hogochaffer Hospital in Turmus Aya while the medical staff working in the intensive care rooms there were vaccinated with the Moderna vaccine modernavaccine palestine COVID19' ,,(0.0) Statement from Authority Account 'palestine moh': 'Pictures from the launch of the vaccination campaign against the Coronavirus starting with the medical and health teams in Bethlehem vaccine Palestine COVID19 ' ,(0.8) Statement from Authority Account 'palestine moh': 'The Ministry added that the second group that will receive the vaccine is the elderly over the age of 60 and those with chronic diseases because if they are infected with the virus they will be more susceptible to serious symptoms vaccine modernavaccine palestine COVID19' ,(0.9) Statement from Authority Account 'palestine moh': 'Yesterday the Ministry of Health announced that it had received 2 000 doses of Moderna vaccine stressing that the priority in receiving anti-Coronavirus vaccinations is for personnel working in the health sector as they are the group who have the most contact with patients and are most at risk of infection with the Corona virus modernavaccine palestine COVID19' ,(0.8) Statement from Authority Account 'palestine moh': 'The Minister of Health Dr May Alkaila today Tuesday the campaign where she received the vaccine at Hogochaffer Hospital in Turmus Aya while the medical staff working in the intensive care rooms there were vaccinated with the Moderna vaccine modernavaccine palestine COVID19' ,,(0.7) Statement from Authority Account 'palestine moh': 'Pictures from the launch of the vaccination campaign against the Coronavirus starting with the medical and health teams in Bethlehem vaccine Palestine COVID19 ' ,(0.8) Statement from Authority Account 'palestine moh': 'The Ministry added that the second group that will receive the vaccine is the elderly over the age of 60 and those with chronic diseases because if they are infected with the virus they will be more susceptible to serious symptoms vaccine modernavaccine palestine COVID19' ,(0.9) Statement from Authority Account 'palestine moh': 'Yesterday the Ministry of Health announced that it had received 2 000 doses of Moderna vaccine stressing that the priority in receiving anti-Coronavirus vaccinations is for personnel working in the health sector as they are the group who have the most contact with patients and are most at risk of infection with the Corona virus modernavaccine palestine COVID19' ,(0.8) Statement from Authority Account 'palestine moh': 'The Minister of Health Dr May Alkaila today Tuesday the campaign where she received the vaccine at Hogochaffer Hospital in Turmus Aya while the medical staff working in the intensive care rooms there were vaccinated with the Moderna vaccine modernavaccine palestine COVID19' ,,No
AuRED_037,Macron to Sky News: After my visit to Mrs Fairouz last night and the visit to the Jaj Cedar Reserve I realized the love of a large section of the Lebanese people for their President of the Republic Fairouz also told me about her appreciation and love for the President and the reform project that the President of the Republic wants to implement I also salute the President of the Republic and his efforts and patience,REFUTES,REFUTES,REFUTES,REFUTES,(-0.9) Statement from Authority Account 'salmanonline': ' Macron and Mrs Fairouz: This news was not published by 'Sky News' FactCheck via Annahar FactCheck salmanonline' ,(0.9) Statement from Authority Account 'salmanonline': 'Good morning Beirut But this is fabricated news and supporters of the Free Patriotic Movement are not convinced that Macron did not tell Sky News at all He did not make any statement neither he nor Fayrouz such words Good morning Beirut fake news ' ,(0.9) Statement from Authority Account 'salmanonline': 'This news attributed to Sky News Arabia is false ' ,,,(0.9) Statement from Authority Account 'salmanonline': ' Macron and Mrs Fairouz: This news was not published by 'Sky News' FactCheck via Annahar FactCheck salmanonline' ,(0.9) Statement from Authority Account 'salmanonline': 'Good morning Beirut But this is fabricated news and supporters of the Free Patriotic Movement are not convinced that Macron did not tell Sky News at all He did not make any statement neither he nor Fayrouz such words Good morning Beirut fake news ' ,(0.9) Statement from Authority Account 'salmanonline': 'This news attributed to Sky News Arabia is false ' ,,,(0.9) Statement from Authority Account 'salmanonline': ' Macron and Mrs Fairouz: This news was not published by 'Sky News' FactCheck via Annahar FactCheck salmanonline' ,(0.9) Statement from Authority Account 'salmanonline': 'Good morning Beirut But this is fabricated news and supporters of the Free Patriotic Movement are not convinced that Macron did not tell Sky News at all He did not make any statement neither he nor Fayrouz such words Good morning Beirut fake news ' ,(0.9) Statement from Authority Account 'salmanonline': 'This news attributed to Sky News Arabia is false ' ,,,Yes
AuRED_085,Saudi Arabia evacuated 10 students from China in a plane that could accommodate 500 passengers and did not evacuate 170 Yemeni students with it while participating with 100 warplanes to bomb Yemen May God protect the Sultanate of Oman for sending a private plane to the Yemeni students stranded in China And what a good neighbor Oman ️ co OfDSIoD5ry,REFUTES,REFUTES,NOT ENOUGH INFO,REFUTES,(0.0) Statement from Authority Account 'YSUCORG': ' The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(0.0) Statement from Authority Account 'YSUCORG': 'Statement by the administrative body of the Yemeni Students Union in China regarding the conditions of students in Wuhan ' ,(0.8) Statement from Authority Account 'Yemen PM': 'The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(0.0) Statement from Authority Account 'Yemen PM': 'Deputy Prime Minister Dr Salem Al-Khanbashi chairs an expanded meeting to study precautionary arrangements to prevent the spread of the Coronavirus to Yemen noting the directives of Prime Minister Dr Maeen Abdulmalik to form an emergency committee and take all measures to protect students and the Yemeni community in China ' ,(0.9) Statement from Authority Account 'Yemen PM': 'Prime Minister Dr Maeen Abdulmalik makes a phone call with the Chargé d'Affaires of the Yemeni Embassy in China Ahmed Jaber to check on the conditions of the students and the Yemeni community stressing that the government under the directives of the President of the Republic will provide in coordination with the Chinese authorities all support to maintain their safety as a result of the outbreak of the Corona virus t co UK2xfjBMYk' ,(-0.8) Statement from Authority Account 'YSUCORG': ' The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(-0.8) Statement from Authority Account 'YSUCORG': 'Statement by the administrative body of the Yemeni Students Union in China regarding the conditions of students in Wuhan ' ,(-0.8) Statement from Authority Account 'Yemen PM': 'The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(0.0) Statement from Authority Account 'Yemen PM': 'Deputy Prime Minister Dr Salem Al-Khanbashi chairs an expanded meeting to study precautionary arrangements to prevent the spread of the Coronavirus to Yemen noting the directives of Prime Minister Dr Maeen Abdulmalik to form an emergency committee and take all measures to protect students and the Yemeni community in China ' ,(0.0) Statement from Authority Account 'Yemen PM': 'Prime Minister Dr Maeen Abdulmalik makes a phone call with the Chargé d'Affaires of the Yemeni Embassy in China Ahmed Jaber to check on the conditions of the students and the Yemeni community stressing that the government under the directives of the President of the Republic will provide in coordination with the Chinese authorities all support to maintain their safety as a result of the outbreak of the Corona virus t co UK2xfjBMYk' ,(0.8) Statement from Authority Account 'YSUCORG': ' The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(0.0) Statement from Authority Account 'YSUCORG': 'Statement by the administrative body of the Yemeni Students Union in China regarding the conditions of students in Wuhan ' ,(0.8) Statement from Authority Account 'Yemen PM': 'The Yemeni Embassy in China announces the start of disbursing financial aid to all Yemeni students and their families residing in the Chinese city of Wuhan which is witnessing the spread of the Corona virus in the coming days ' ,(0.0) Statement from Authority Account 'Yemen PM': 'Deputy Prime Minister Dr Salem Al-Khanbashi chairs an expanded meeting to study precautionary arrangements to prevent the spread of the Coronavirus to Yemen noting the directives of Prime Minister Dr Maeen Abdulmalik to form an emergency committee and take all measures to protect students and the Yemeni community in China ' ,(0.8) Statement from Authority Account 'Yemen PM': 'Prime Minister Dr Maeen Abdulmalik makes a phone call with the Chargé d'Affaires of the Yemeni Embassy in China Ahmed Jaber to check on the conditions of the students and the Yemeni community stressing that the government under the directives of the President of the Republic will provide in coordination with the Chinese authorities all support to maintain their safety as a result of the outbreak of the Corona virus t co UK2xfjBMYk' ,No
AuRED_089,The Corona epidemic has reached the Emirates with 75 cases in Abu Dhabi and 63 cases in Dubai A warning to refrain from traveling to the Emirates in order to preserve safety and not transmit the epidemic May God protect Muslims everywhere,REFUTES,SUPPORTS,REFUTES,REFUTES,(-0.9) Statement from Authority Account 'WHOEMRO': 'Today WHO confirmed the emergence of the first cases of the new Coronavirus in the Eastern Mediterranean Region in the United Arab Emirates Following mohapuae's confirmation on January 29 4 members of the same family from the Chinese city of Wuhan arrived in the UAE at the beginning of January 2020 and were admitted to the hospital after they were confirmed infected with the Corona virus ' ,(0.0) Statement from Authority Account 'mohapuae': 'A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China Thus the number of cases discovered in the country is only five since the outbreak of the disease to date New Coronavirus Coronavirus ' ,(0.0) Statement from Authority Account 'mohapuae': 'Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures ' ,(-0.9) Statement from Authority Account 'mohapuae': 'The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People's Republic of China The health condition of the injured is stable and under medical observation Ministry of Health and Community Prevention ' ,(-0.9) Statement from Authority Account 'NCEMAUAE': ' A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today New Corona Virus Corona Virus' ,(-0.8) Statement from Authority Account 'WHOEMRO': 'Today WHO confirmed the emergence of the first cases of the new Coronavirus in the Eastern Mediterranean Region in the United Arab Emirates Following mohapuae's confirmation on January 29 4 members of the same family from the Chinese city of Wuhan arrived in the UAE at the beginning of January 2020 and were admitted to the hospital after they were confirmed infected with the Corona virus ' ,(0.9) Statement from Authority Account 'mohapuae': 'A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China Thus the number of cases discovered in the country is only five since the outbreak of the disease to date New Coronavirus Coronavirus ' ,(0.8) Statement from Authority Account 'mohapuae': 'Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures ' ,(0.8) Statement from Authority Account 'mohapuae': 'The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People's Republic of China The health condition of the injured is stable and under medical observation Ministry of Health and Community Prevention ' ,(0.9) Statement from Authority Account 'NCEMAUAE': ' A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today New Corona Virus Corona Virus' ,(0.8) Statement from Authority Account 'WHOEMRO': 'Today WHO confirmed the emergence of the first cases of the new Coronavirus in the Eastern Mediterranean Region in the United Arab Emirates Following mohapuae's confirmation on January 29 4 members of the same family from the Chinese city of Wuhan arrived in the UAE at the beginning of January 2020 and were admitted to the hospital after they were confirmed infected with the Corona virus ' ,(0.9) Statement from Authority Account 'mohapuae': 'A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China Thus the number of cases discovered in the country is only five since the outbreak of the disease to date New Coronavirus Coronavirus ' ,(0.8) Statement from Authority Account 'mohapuae': 'Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures ' ,(0.8) Statement from Authority Account 'mohapuae': 'The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the People's Republic of China The health condition of the injured is stable and under medical observation Ministry of Health and Community Prevention ' ,(0.9) Statement from Authority Account 'NCEMAUAE': ' A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the People's Republic of China thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today New Corona Virus Corona Virus' ,No
AuRED_135,The official spokesman for the Football Association: Al-Ahly sent a letter to the Football Association announcing its refusal to wear Zamalek in the full blue uniform during the Egyptian Super match based on its request,REFUTES,NOT ENOUGH INFO,REFUTES,REFUTES,(-0.8) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater 'warns' against fabricating news and spreading rumours: We do not have an acting CEO in this position and we have nothing to do with the uniform of others YouTube The Big House Alahlytv co IRn9G1O9WP'' ,(0.9) Statement from Authority Account 'AlAhlyTV': ''Al-Ahly's objection speech to the 'Zamalek uniform' in the Super Cup was 'fabricated' Islam Al-Shater: Even failure amounts to fabrication YouTube The Big House Alahlytv co aTUx2UOkVB'' ,,,,(0.8) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater 'warns' against fabricating news and spreading rumours: We do not have an acting CEO in this position and we have nothing to do with the uniform of others YouTube The Big House Alahlytv co IRn9G1O9WP'' ,(0.8) Statement from Authority Account 'AlAhlyTV': ''Al-Ahly's objection speech to the 'Zamalek uniform' in the Super Cup was 'fabricated' Islam Al-Shater: Even failure amounts to fabrication YouTube The Big House Alahlytv co aTUx2UOkVB'' ,,,,(0.8) Statement from Authority Account 'AlAhlyTV': 'Islam Al-Shater 'warns' against fabricating news and spreading rumours: We do not have an acting CEO in this position and we have nothing to do with the uniform of others YouTube The Big House Alahlytv co IRn9G1O9WP'' ,(0.8) Statement from Authority Account 'AlAhlyTV': ''Al-Ahly's objection speech to the 'Zamalek uniform' in the Super Cup was 'fabricated' Islam Al-Shater: Even failure amounts to fabrication YouTube The Big House Alahlytv co aTUx2UOkVB'' ,,,,No
AuRED_141,The Prime Minister of Italy Giorgia Meloni with the Prime Minister of Iraq Muhammad Shia al-Sudani in Baghdad but what is strange is that the 'flag' is not the flag of the 'Italian State' !! This is the situation when mercenary agents rule as agents The occupiers do not even know the difference between (the flag of Italy) and (the flag of Ireland) !! ',REFUTES,SUPPORTS,REFUTES,REFUTES,(-0.9) Statement from Authority Account 'ItalyinIraq': ' We officially deny the news of the alleged error related to raising the official flags during today's meeting of the Prime Minister of Italy Mrs Giorgia Meloni with her Iraqi counterpart Mr Muhammad Al-Sudani in Baghdad This news is due to the visual effects resulting from the photography The flags used were all of the Italian Republic ' ,,,,,(0.9) Statement from Authority Account 'ItalyinIraq': ' We officially deny the news of the alleged error related to raising the official flags during today's meeting of the Prime Minister of Italy Mrs Giorgia Meloni with her Iraqi counterpart Mr Muhammad Al-Sudani in Baghdad This news is due to the visual effects resulting from the photography The flags used were all of the Italian Republic ' ,,,,,(0.9) Statement from Authority Account 'ItalyinIraq': ' We officially deny the news of the alleged error related to raising the official flags during today's meeting of the Prime Minister of Italy Mrs Giorgia Meloni with her Iraqi counterpart Mr Muhammad Al-Sudani in Baghdad This news is due to the visual effects resulting from the photography The flags used were all of the Italian Republic ' ,,,,,No
AuRED_143,Urgent ️ Resignation of the Director General of the Municipality Engineer; Ahmed Al-Manfoukhi,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'ImeGrop': 'Some people circulated on social media incorrect news which was attributed to 'forgery' to 'your newspaper ' In turn we confirm that the news is not true and warn against using the newspaper's name to spread rumours We also confirm that the newspaper is only responsible for the news it publishes through its approved social media accounts ' ,,,,,(0.9) Statement from Authority Account 'ImeGrop': 'Some people circulated on social media incorrect news which was attributed to 'forgery' to 'your newspaper ' In turn we confirm that the news is not true and warn against using the newspaper's name to spread rumours We also confirm that the newspaper is only responsible for the news it publishes through its approved social media accounts ' ,,,,,(0.8) Statement from Authority Account 'ImeGrop': 'Some people circulated on social media incorrect news which was attributed to 'forgery' to 'your newspaper ' In turn we confirm that the news is not true and warn against using the newspaper's name to spread rumours We also confirm that the newspaper is only responsible for the news it publishes through its approved social media accounts ' ,,,,,Yes
AuRED_146,Ministry of Works: We receive in-kind donations from citizens or companies for specific street repairs via official address,REFUTES,REFUTES,REFUTES,REFUTES,(0.9) Statement from Authority Account 'mpw kw': 'The Ministry of Public Works categorically denies the incorrect news mentioned about opening the door for donations from citizens or companies to repair streets Roads and streets are developed and maintained in accordance with contracts signed between the Ministry and parties with a common interest ' ,,,,,(0.9) Statement from Authority Account 'mpw kw': 'The Ministry of Public Works categorically denies the incorrect news mentioned about opening the door for donations from citizens or companies to repair streets Roads and streets are developed and maintained in accordance with contracts signed between the Ministry and parties with a common interest ' ,,,,,(0.9) Statement from Authority Account 'mpw kw': 'The Ministry of Public Works categorically denies the incorrect news mentioned about opening the door for donations from citizens or companies to repair streets Roads and streets are developed and maintained in accordance with contracts signed between the Ministry and parties with a common interest ' ,,,,,Yes
AuRED_152,Exclusively: The Queen of Arab Pop Nancy Ajram refused to sing with restaurant singer Nawal Alzoghbi after Nawal asked several times to sing with her and to have a duet together Trio Arabic Night,REFUTES,SUPPORTS,REFUTES,REFUTES,(-0.9) Statement from Authority Account 'NancyAjram ': ''This talk is wrong and unacceptable and it does not resemble the people who love me I hope I will not be forced to respond again to a story of this kind All the artists are participating in 'Together' tonight and together we will present the best party away from all the talk that has come out or is reasonable to come out t co rEE4AkIMVf'' ,,,,,(0.8) Statement from Authority Account 'NancyAjram ': ''This talk is wrong and unacceptable and it does not resemble the people who love me I hope I will not be forced to respond again to a story of this kind All the artists are participating in 'Together' tonight and together we will present the best party away from all the talk that has come out or is reasonable to come out t co rEE4AkIMVf'' ,,,,,(0.8) Statement from Authority Account 'NancyAjram ': ''This talk is wrong and unacceptable and it does not resemble the people who love me I hope I will not be forced to respond again to a story of this kind All the artists are participating in 'Together' tonight and together we will present the best party away from all the talk that has come out or is reasonable to come out t co rEE4AkIMVf'' ,,,,,No
AuRED_155,Unconfirmed information about MP Alain Aoun being involved in a serious accident and information about his death,REFUTES,REFUTES,REFUTES,REFUTES,(1.0) Statement from Authority Account 'Alain Aoun': 'In the context of malicious rumours false news was widely circulated on social media about my exposure to a serious accident that led to my death I thank everyone who reassured me and called or tried to call and confirmed that I am fine and that the news is false ' ,,,,,(0.9) Statement from Authority Account 'Alain Aoun': 'In the context of malicious rumours false news was widely circulated on social media about my exposure to a serious accident that led to my death I thank everyone who reassured me and called or tried to call and confirmed that I am fine and that the news is false ' ,,,,,(0.9) Statement from Authority Account 'Alain Aoun': 'In the context of malicious rumours false news was widely circulated on social media about my exposure to a serious accident that led to my death I thank everyone who reassured me and called or tried to call and confirmed that I am fine and that the news is false ' ,,,,,Yes
