id,claim,label,openai-4o-mini-run1-pred_label,openai-4o-mini-run2-pred_label,openai-4o-mini-run3-pred_label,openai-4o-mini-run1-scores,openai-4o-mini-run2-scores,openai-4o-mini-run3-scores,Predicted Labels Match,Conf Diff,Conf Matches
AuRED_014,' Urgent Ramallah Ministry of Health spokesman Kamal Al-Shakhra: We received 2 000 doses of the American 'Moderna' Corona vaccine and this batch will be designated for President Abbas the Fatah Central Committee and VIPs ',REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.0, 0.9, 0.0]","[0.0, 0.0, 0.9, 0.0]","[0.0, 0.0, 0.9, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_037,Macron to Sky News: After my visit to Mrs Fairouz last night and the visit to the Jaj Cedar Reserve I realized the love of a large section of the Lebanese people for their President of the Republic Fairouz also told me about her appreciation and love for the President and the reform project that the President of the Republic wants to implement I also salute the President of the Republic and his efforts and patience,REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.9, 0.0]","[0.0, 0.9, 0.0]","[0.0, 0.9, 0.0]",Yes,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",Yes
AuRED_085,Saudi Arabia evacuated 10 students from China in a plane that could accommodate 500 passengers and did not evacuate 170 Yemeni students with it while participating with 100 warplanes to bomb Yemen May God protect the Sultanate of Oman for sending a private plane to the Yemeni students stranded in China And what a good neighbor Oman ️ co OfDSIoD5ry,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_089,The Corona epidemic has reached the Emirates with 75 cases in Abu Dhabi and 63 cases in Dubai A warning to refrain from traveling to the Emirates in order to preserve safety and not transmit the epidemic May God protect Muslims everywhere,REFUTES,REFUTES,REFUTES,REFUTES,"[0.0, 0.9, 0.0, 0.9, 0.9]","[0.0, 0.9, 0.0, 0.9, 0.9]","[0.0, 0.9, 0.0, 0.9, 0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_135,The official spokesman for the Football Association: Al-Ahly sent a letter to the Football Association announcing its refusal to wear Zamalek in the full blue uniform during the Egyptian Super match based on its request,REFUTES,REFUTES,REFUTES,REFUTES,"[0.9, 0.8]","[0.9, 0.8]","[0.9, 0.8]",Yes,"[[0.0, 0.0], [0.0, 0.0]]",Yes
AuRED_141,The Prime Minister of Italy Giorgia Meloni with the Prime Minister of Iraq Muhammad Shia al-Sudani in Baghdad but what is strange is that the 'flag' is not the flag of the 'Italian State' !! This is the situation when mercenary agents rule as agents The occupiers do not even know the difference between (the flag of Italy) and (the flag of Ireland) !! ',REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_143,Urgent ️ Resignation of the Director General of the Municipality Engineer; Ahmed Al-Manfoukhi,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[0.0],[0.0],[0.0],Yes,"[[0.0], [0.0]]",Yes
AuRED_146,Ministry of Works: We receive in-kind donations from citizens or companies for specific street repairs via official address,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_152,Exclusively: The Queen of Arab Pop Nancy Ajram refused to sing with restaurant singer Nawal Alzoghbi after Nawal asked several times to sing with her and to have a duet together Trio Arabic Night,REFUTES,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[0.0],[0.0],[0.0],Yes,"[[0.0], [0.0]]",Yes
AuRED_155,Unconfirmed information about MP Alain Aoun being involved in a serious accident and information about his death,REFUTES,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_157,God is Great and praise be to God The release of Sheikh Salman Al-Awda from the deadly prisons of Al-Salool May God hasten the release of the captivity of all his brothers scholars and oppressed oppressed people,REFUTES,SUPPORTS,SUPPORTS,SUPPORTS,"[0.0, 0.0, 0.8, 0.0, 0.0]","[0.0, 0.0, 0.8, 0.0, 0.0]","[0.0, 0.0, 0.8, 0.0, 0.0]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_158,New innovation Hidden chairs and box in carpets Abdul Wahhab Mosque Doha Qatar,REFUTES,REFUTES,REFUTES,REFUTES,[0.9],[0.9],[0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_105,Tunisia offers to help Libya treat those injured in the fuel truck explosion in Bint Biyya Libya Witness for details:,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.9, -0.9, -0.9]","[-0.9, -0.9, -0.9]","[-0.9, -0.9, -0.9]",Yes,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",Yes
AuRED_111,The Spanish Casas is the coach of the Iraqi national team,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[0.0, -0.95, 0.0, 0.0, -0.9]","[0.0, -0.95, 0.0, 0.0, -0.8]","[0.0, -0.95, 0.0, 0.0, -0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.09999999999999998], [0.0, 0.0, 0.0, 0.0, 0.09999999999999998]]",No
AuRED_115,A citizen assaults a doctor working in a maternity hospital causing him to bleed in various parts of his body The Medical Association denounces the attack and will take legal measures against the attacker Kuwait Ministry of Health,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.9, -0.9]","[-0.9, -0.9]","[-0.9, -0.9]",Yes,"[[0.0, 0.0], [0.0, 0.0]]",Yes
AuRED_118,There is no power nor strength except with God Say 'Nothing will happen to us except what God has decreed for us ' It was confirmed that Akram Tawfiq suffered a cruciate ligament tear The injury may deprive us of a fighter from a Mufusa fighter,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.9, 0.0, -0.9, 0.0, -0.9]","[-0.9, 0.0, -0.9, 0.0, -0.9]","[-0.9, 0.0, -0.9, 0.0, -0.9]",Yes,"[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]]",Yes
AuRED_124,Saudi Arabia bears the costs of electronic services for the Haya visa for the World Cup in Qatar,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,"[-0.9, -0.9]","[-0.9, -0.9]","[-0.9, -0.9]",Yes,"[[0.0, 0.0], [0.0, 0.0]]",Yes
AuRED_129,The death of former Al-Nasr star Yasser Al-Moussa after suffering from illness - may God have mercy on him - Death of Al-Nasr player Yasser Al-Moussa,SUPPORTS,SUPPORTS,SUPPORTS,SUPPORTS,[-0.9],[-0.9],[-0.9],Yes,"[[0.0], [0.0]]",Yes
AuRED_004,Turkish demonstrators attack the Kuwaiti Turkish Bank in Istanbul after the collapse of the Turkish lira as I received,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
AuRED_006,Qais Saeed 'From now on if clerics interfere in politics I will fill the prisons with them ' Long live the belly that carried you man in a time of men's decline,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,NOT ENOUGH INFO,[],[],[],Yes,"[[], []]",Yes
